'id','lat','lon','user','uid','version','changeset','timestamp'

'31535373','41.5922280','-93.7950400','trayhons','141719','2','2917529','2009-10-21T23:58:17Z'

'31535374','41.5922170','-93.7993690','trayhons','141719','2','2917529','2009-10-21T23:58:17Z'

'31535375','41.5921534','-93.8045573','Scott Lincoln','101788','2','1229068','2009-05-17T21:33:44Z'

'31535376','41.5920956','-93.8072266','Scott Lincoln','101788','2','1229068','2009-05-17T21:33:45Z'

'31535377','41.5916334','-93.8096813','Scott Lincoln','101788','2','1229068','2009-05-17T21:33:25Z'

'31535378','41.5913831','-93.8104538','Scott Lincoln','101788','2','1229068','2009-05-17T21:33:25Z'

'31535379','41.5909594','-93.8114838','Scott Lincoln','101788','2','1229068','2009-05-17T21:35:46Z'

'31535380','41.5907797','-93.8118443','Scott Lincoln','101788','2','1229068','2009-05-17T21:35:46Z'

'31535381','41.5899850','-93.8134500','trayhons','141719','2','2917529','2009-10-21T23:58:16Z'

'31535382','41.5891590','-93.8150830','trayhons','141719','2','2917529','2009-10-21T23:58:16Z'

'31535383','41.5883260','-93.8167130','trayhons','141719','2','2917529','2009-10-21T23:58:16Z'

'31535384','41.5876330','-93.8180750','trayhons','141719','2','2917529','2009-10-21T23:58:16Z'

'31535385','41.5856459','-93.8218627','Jeff Ollie','102411','3','4527563','2010-04-25T23:17:48Z'

'31535386','41.5845084','-93.8240599','Jeff Ollie','102411','3','4527563','2010-04-25T23:17:49Z'

'31535387','41.5835355','-93.8259528','Jeff Ollie','102411','3','4526609','2010-04-25T21:04:45Z'
